currentTime;action;orderId;orderProduct;orderSide;tradePx;tradeAmt
1704114020000000000;filled;6;BB;buy;13500;1
1704114026000000000;filled;8;BB;sell;14500;3
1704114043000000000;filled;13;BB;buy;14900;3
1704114073000000000;filled;21;BB;buy;15000;4
1704114080000000000;filled;23;BB;buy;14900;1
1704114096000000000;filled;28;BB;sell;15100;1
1704114105000000000;filled;31;BB;buy;15200;2
1704114168000000000;filled;50;BB;sell;15100;1
1704114174000000000;filled;52;BB;buy;15300;3
1704114221000000000;filled;66;BB;sell;15400;1
1704114228000000000;filled;68;BB;buy;15600;2
1704114235000000000;filled;70;BB;sell;15200;1
1704114254000000000;filled;76;BB;sell;15000;3
1704114260000000000;filled;78;BB;buy;14600;1
1704114263000000000;filled;79;BB;buy;14500;2
1704114266000000000;filled;80;BB;sell;14300;1
1704114269000000000;filled;81;BB;buy;14000;1
1704114284000000000;filled;86;BB;buy;14300;2
1704114287000000000;filled;87;BB;sell;14700;2
1704114290000000000;filled;88;BB;sell;15000;4
1704114334000000000;filled;100;BB;sell;15200;3
1704114367000000000;filled;109;BB;buy;15200;1
1704114389000000000;filled;115;BB;buy;15200;2
1704114400000000000;filled;118;BB;sell;15300;1
1704114403000000000;filled;119;BB;buy;15300;3
1704114409000000000;filled;121;BB;sell;15400;4
1704114412000000000;filled;122;BB;sell;15500;1
1704114430000000000;filled;128;BB;sell;15500;2
