currentTime;action;orderId;orderProduct;orderSide;tradePx;tradeAmt
1704114093000000000;filled;27;CC;sell;1500600;1
1704114108000000000;filled;32;CC;sell;1500610;1
1704114111000000000;filled;33;CC;sell;1500620;1
1704114114000000000;filled;34;CC;buy;1500650;4
1704114129000000000;filled;38;CC;sell;1500680;2
1704114132000000000;filled;39;CC;sell;1500640;1
1704114149000000000;filled;44;CC;buy;1500680;2
1704114162000000000;filled;48;CC;buy;1500690;3
1704114171000000000;filled;51;CC;sell;1500700;1
1704114177000000000;filled;53;CC;buy;1500710;1
1704114186000000000;filled;56;CC;sell;1500730;3
1704114207000000000;filled;62;CC;buy;1500750;4
1704114242000000000;filled;72;CC;sell;1500720;1
1704114245000000000;filled;73;CC;buy;1500700;2
1704114251000000000;filled;75;CC;sell;1500640;3
1704114257000000000;filled;77;CC;sell;1500680;1
1704114272000000000;filled;82;CC;buy;1500700;1
1704114281000000000;filled;85;CC;sell;1500600;3
1704114317000000000;filled;95;CC;buy;1500620;1
1704114320000000000;filled;96;CC;buy;1500590;2
1704114345000000000;filled;103;CC;buy;1500580;1
1704114406000000000;filled;120;CC;buy;1500540;1
1704114415000000000;filled;123;CC;sell;1500530;2
1704114421000000000;filled;125;CC;buy;1500590;1
